Item,Supplier,Unit Price,Project
Item_0001,Clariant,187.27,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0001,DuPont,199.09,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0002,BASF,225.68,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0002,DuPont,235.57,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0002,SABIC,200.27,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0003,BASF,213.14,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0003,DuPont,165.85,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0003,INEOS,219.17,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0003,SABIC,211.18,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0004,Clariant,190.06,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0004,Lyondell,176.92,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0004,Mitsubishi,182.63,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0005,Clariant,199.77,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0005,DuPont,207.4,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0005,SABIC,199.47,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0006,BASF,150.74,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0006,DuPont,194.03,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0006,INEOS,175.04,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0006,Mitsubishi,164,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0006,SABIC,186.13,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0007,Clariant,214.23,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0007,Lyondell,177.67,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0007,Mitsubishi,134.02,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0008,BASF,198.99,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0008,DuPont,166.84,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0008,INEOS,194.14,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0008,SABIC,194.83,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0009,Clariant,203.39,33aad28d-59f5-4b9f-bee8-ebe1a2389570
Item_0009,Lyondell,176.71,33aad28d-59f5-4b9f-bee8-ebe1a2389570
